Timestamp, Engine Raw, Chassis Raw, Output
17953695908,1.6218,1.98435,1.92869
17954746774,1.68625,1.67175,1.70311
17955843270,1.76199,1.32612,1.43804
17956936692,1.74023,1.56702,1.51418
17958001651,1.64678,1.87559,1.84128
17959079296,1.6073,2.04155,1.97945
17960159310,1.69028,1.69351,1.68901
17961238010,1.78535,1.31887,1.35627
17962316099,1.75796,1.43167,1.45214
17963395077,1.64758,1.80066,1.83846
17964474573,1.59683,1.98999,2.01611
17965553310,1.68464,1.81113,1.70875
17966631658,1.79421,1.47517,1.32525
17967710117,1.78535,1.39783,1.35627
17968789594,1.66692,1.61133,1.77078
17969867924,1.59119,1.86753,2.03585
17970947087,1.64517,1.77166,1.84692
17972024564,1.76924,1.5509,1.41267
17973105375,1.7918,1.42764,1.33371
17974186834,1.70076,1.61294,1.65235
17975266442,1.60408,1.94407,1.99073
17976344901,1.621,1.80066,1.93151
17977423526,1.74749,1.42522,1.4888
17978502374,1.78696,1.3511,1.35063
17979581296,1.69753,1.66289,1.66363
17980659181,1.60811,1.9626,1.97663
17981738918,1.62905,1.81597,1.90332
17982817618,1.74346,1.56782,1.5029
17983922003,1.79905,1.5501,1.30833
17984974351,1.7209,1.66772,1.58186
17986051496,1.61777,1.82161,1.94279
17987128881,1.62422,1.71445,1.92023
17988206210,1.73701,1.57104,1.52546
17989283984,1.80066,1.53801,1.30269
17990374702,1.72654,1.69512,1.56212
17991439217,1.61938,1.82241,1.93715
17992514935,1.60247,1.72412,1.99637
17993593469,1.69431,1.51787,1.67491
17994674150,1.77568,1.41072,1.39011
17995752442,1.74023,1.68867,1.51418
17996831050,1.65,1.89009,1.83
17997909749,1.62422,1.76199,1.92023
17998987931,1.70317,1.49451,1.64389
18000066742,1.78052,1.38574,1.37319
18001145219,1.72896,1.60408,1.55366
18002224364,1.63792,1.87881,1.8723
18003303119,1.63066,1.97952,1.89768
18004385874,1.71848,1.6073,1.59031
18005464537,1.78938,1.35674,1.34217
18006543200,1.73621,1.52029,1.52828
18007622622,1.62583,1.76682,1.91459
18008700915,1.60085,1.83127,2.00201
18009779392,1.70398,1.65725,1.64107
18010858222,1.80469,1.42764,1.28859
18011936736,1.76521,1.44456,1.42677
18013015529,1.64114,1.64678,1.86102
18014098247,1.58232,1.80308,2.06686
18015176965,1.67014,1.81677,1.7595
18016255536,1.78616,1.61213,1.35345
18017333958,1.79019,1.4937,1.33935
18018412509,1.68223,1.55815,1.71721
18019490783,1.59844,1.78696,2.01047
18020569946,1.65483,1.70317,1.81308
18021649350,1.76279,1.53076,1.43522
18022726068,1.77246,1.48162,1.40139
18023830157,1.6782,1.70237,1.73131
18024895005,1.60005,1.8208,2.00483
18025958705,1.64114,1.68867,1.86102
18027035942,1.76279,1.55574,1.43522
18028113160,1.78374,1.66128,1.36191
18029190545,1.69028,1.73862,1.68901
18030266726,1.61455,1.78696,1.95407
18031345685,1.63469,1.57266,1.88358
18032424107,1.74749,1.5364,1.4888
18033502937,1.79502,1.61133,1.32243
18034585359,1.70156,1.78213,1.64953
18035663300,1.60972,1.75312,1.97099
18036742148,1.63469,1.56379,1.88358
18037820755,1.73298,1.41233,1.53956
18038899862,1.77649,1.43086,1.38729
18039978043,1.70881,1.73862,1.62415
18041056799,1.63389,1.86431,1.8864
18042135221,1.6363,1.71445,1.87794
18043213810,1.72815,1.47517,1.55648
18044296491,1.76924,1.37043,1.41267
18045375061,1.69431,1.71687,1.67491
18046453705,1.61133,2.02705,1.96535
18047532998,1.63147,1.96582,1.89486
18048611438,1.74749,1.60247,1.4888
18049690509,1.79019,1.3366,1.33935
18050769394,1.71687,1.58716,1.59595
18051847279,1.60488,1.86995,1.98791
18052926182,1.61375,1.91426,1.95689
18054008049,1.74749,1.71687,1.4888
18055086767,1.8208,1.44133,1.2322
18056184689,1.73621,1.56541,1.52828
18057263352,1.60569,1.65725,1.98509
18058343144,1.58313,1.7209,2.06405
18059432400,1.69592,1.621,1.66927
18060496970,1.79824,1.43489,1.31115
18061574911,1.76521,1.60327,1.42677
18062650370,1.65081,1.8635,1.82718
18063732125,1.59683,1.88928,2.01611
18064807288,1.68142,1.58877,1.72003
18065884377,1.78052,1.3092,1.37319
18066960002,1.75957,1.4792,1.4465
18068039517,1.65322,1.81597,1.81872
18069118013,1.60488,1.98193,1.98791
18070196991,1.69592,1.7491,1.66927
18071275672,1.78535,1.42844,1.35627
18072354687,1.76763,1.40347,1.41831
18073433868,1.66772,1.70317,1.76796
18074515975,1.59924,1.96099,2.00765
18075594397,1.67578,1.75393,1.73977
18076673171,1.77971,1.43489,1.37601
18077752482,1.77407,1.41797,1.39575
18078830904,1.6637,1.66208,1.78206
18079909604,1.59119,1.92554,2.03585
18080987786,1.64758,1.74507,1.83846
18082066282,1.76763,1.42119,1.41831
18083145611,1.77971,1.43569,1.37601
18084227681,1.68706,1.75635,1.70029
18085305955,1.61294,2.00449,1.95971
18086384229,1.65,1.8208,1.83
18087464040,1.7636,1.48403,1.4324
18088542259,1.77246,1.39299,1.40139
18089620644,1.67336,1.73782,1.74822
18090699529,1.59844,1.9634,2.01047
18091778747,1.65,1.80791,1.83
18092856576,1.76521,1.49128,1.42677
18093952924,1.78535,1.44697,1.35627
18095017309,1.68545,1.67578,1.70593
18096096194,1.60166,1.97468,1.99919
18097172765,1.63066,1.88123,1.89768
18098250909,1.76118,1.61294,1.44086
18099327757,1.80469,1.43005,1.28859
18100405142,1.72412,1.71204,1.57058
