Timestamp, Input Raw, Input Filtered, Output, Error
6478042782,0.0184249,0.040989,0.0496227,0.0297059
6479108818,0.274689,0.0450184,0.0449677,0.039877
6480170743,0.29,0.0651649,0.00794189,0.0542036
6481236909,0.0321246,0.0796704,-0.0106374,0.0603969
6482304408,-0.214469,0.0740293,0.0213476,0.0553736
6483408828,-0.216081,0.0530769,0.0679827,0.0421598
6484475197,0.0305129,0.0385714,0.0698483,0.0302115
6485553602,0.289194,0.0442124,0.0159677,0.0266931
6486619879,0.290806,0.0651649,-0.0345747,0.0365031
6487707967,0.00633698,0.0788645,-0.0164298,0.051803
6488782040,-0.22978,0.0724176,0.054136,0.0606057
6489851371,-0.22978,0.0514652,0.0809554,0.0520453
6490931387,0.0216483,0.0361538,0.0371101,0.031491
6492008200,0.285971,0.0417948,-0.0331693,0.0200797
6493075421,0.277106,0.0546886,-0.0605376,0.0263818
6494158899,-0.0049451,0.0401831,-0.0163801,0.0254145
6495220621,-0.238645,0.0127839,0.0544863,0.0196972
6496302655,-0.201575,0.00150186,0.0803221,0.016702
6497367024,0.0635532,0.0152015,0.0342422,0.0169275
6498444670,0.307729,0.0426007,-0.0363997,0.0228038
6499519353,0.273077,0.0554945,-0.0609572,0.0279254
6500599184,-0.0130037,0.040989,-0.0138888,0.0274182
6501670775,-0.249121,0.0143957,0.0575314,0.0224028
6502751105,-0.213663,0.00150186,0.0799838,0.0168906
6503825788,0.0764468,0.0160074,0.030115,0.0170229
6504896916,0.302088,0.0426007,-0.0401549,0.022075
6505976302,0.264212,0.0538828,-0.0616641,0.0266153
6507039672,-0.0258974,0.0377656,-0.010875,0.0255784
6508133649,-0.237839,0.011978,0.0610702,0.0213445
6509209314,-0.187875,0.00230771,0.0801544,0.0180031
6510290422,0.0949817,0.0184249,0.0277917,0.0185732
6511378548,0.321429,0.0458242,-0.0414112,0.0242177
6512448454,0.256154,0.057912,-0.0583006,0.0303335
6513522155,-0.0484615,0.040989,-0.00522547,0.0290653
6514600060,-0.245092,0.0143957,0.0646894,0.0235646
6515674466,-0.184652,0.00553113,0.0796792,0.0197562
6516753093,0.0982051,0.0224542,0.0247801,0.0204388
6517832238,0.32304,0.0490476,-0.0439598,0.025877
6518911495,0.228755,0.0571062,-0.0572737,0.0293657
6519994955,-0.0702198,0.0377656,-0.000708081,0.026657
6521062713,-0.257985,0.011978,0.0673518,0.0217638
6522139636,-0.170147,0.00391942,0.0786607,0.0176672
6523214041,0.135275,0.0232601,0.0206781,0.0198949
6524281966,0.333516,0.0506594,-0.0466813,0.0265911
6525356890,0.224725,0.057912,-0.0561096,0.0304884
6526434313,-0.0766667,0.0385714,0.00329664,0.0286953
6527520477,-0.265238,0.011978,0.0706184,0.02261
6528578902,-0.152418,0.00633698,0.0767886,0.0196928
6529658326,0.136081,0.0248718,0.0155272,0.0202618
6530726954,0.316593,0.0498535,-0.0499149,0.0249661
6531801452,0.209414,0.0554945,-0.0551557,0.0287209
6532891041,-0.0790842,0.035348,0.00660646,0.0271158
6533946448,-0.25315,0.0103663,0.0721123,0.0222295
6535051128,-0.149194,0.00472528,0.0740819,0.0180731
6536103536,0.148974,0.0248718,0.0122692,0.0195207
6537176126,0.329487,0.0506594,-0.0506744,0.0254771
6538243107,0.212637,0.0563003,-0.0519987,0.0302543
6539321715,-0.0911722,0.035348,0.0108605,0.028054
6540389344,-0.257179,0.0111721,0.0733889,0.0231343
6541473248,-0.141941,0.00794869,0.0728065,0.0202043
6542553986,0.159451,0.0289012,0.0102048,0.0220728
6543629965,0.324652,0.0530769,-0.0513051,0.0271384
6544724812,0.19652,0.0563003,-0.0499423,0.0304321
6545791682,-0.0968131,0.0345421,0.0126476,0.0277791
6546875197,-0.255568,0.0111721,0.0738781,0.0232565
6547938844,-0.12663,0.00794869,0.0720569,0.0196491
6549012416,0.18282,0.0305129,0.00882313,0.0230144
6550082563,0.332711,0.0546886,-0.0518567,0.0284589
6551153876,0.189267,0.057912,-0.0484549,0.0322567
6552230503,-0.112125,0.0361538,0.0166725,0.0297608
6553305112,-0.278938,0.011978,0.0771722,0.0239729
6554372130,-0.130659,0.0095604,0.0719247,0.0203375
6555442091,0.176374,0.0305129,0.00586623,0.0214641
6556513053,0.330293,0.0546886,-0.054002,0.0272474
6557588587,0.203773,0.0571062,-0.0483474,0.0313203
6558670807,-0.10326,0.035348,0.0179949,0.0297529
6559732806,-0.258791,0.011978,0.0776832,0.0247815
6560808748,-0.115348,0.0111721,0.0712786,0.02218
6561894319,0.183626,0.0329304,0.00520295,0.0236573
6562960114,0.327875,0.0563003,-0.0538914,0.0286866
6564031983,0.179597,0.0571062,-0.0465641,0.0314066
6565179953,-0.133077,0.0345421,0.0204101,0.029027
6566205642,-0.265238,0.0111721,0.0783369,0.0236945
6567281566,-0.120989,0.0103663,0.0696625,0.0206189
6568347806,0.186044,0.0321246,0.00258387,0.0220453
6569427099,0.32707,0.0546886,-0.0555712,0.0268678
6570519947,0.172344,0.0546886,-0.0457054,0.0295862
6571574447,-0.127436,0.0313187,0.0217768,0.0267664
6572647501,-0.258791,0.00875455,0.0789966,0.0219292
6573721573,-0.0960073,0.0095604,0.0688001,0.0197661
6574796719,0.215861,0.0345421,0.000135998,0.0241029
6575891011,0.326264,0.057912,-0.0565309,0.0299691
6576947918,0.158645,0.0563003,-0.0443322,0.031606
6578013732,-0.141941,0.0329304,0.0242881,0.0290811
6579086397,-0.270073,0.0095604,0.0797026,0.0230029
6580139786,-0.0952014,0.0095604,0.0660841,0.0193467
6581202434,0.203773,0.0329304,-0.00334456,0.0218481
6582266248,0.323846,0.0546886,-0.0575026,0.0267313
6583329284,0.169121,0.0538828,-0.0431781,0.0301117
6584392395,-0.124212,0.0313187,0.0264781,0.0286725
6585458931,-0.26685,0.0095604,0.0807912,0.023565
6586521078,-0.086337,0.0111721,0.0659607,0.0206742
6587585114,0.194103,0.0345421,-0.00302544,0.0227083
6588662334,0.328681,0.0571062,-0.0563559,0.0285259
6589711539,0.173956,0.0563003,-0.0412337,0.0321678
6590776427,-0.132271,0.0337363,0.0272599,0.0306854
6591839297,-0.257985,0.011978,0.079525,0.0253723
6592903277,-0.112125,0.0127839,0.0651764,0.0216203
6593950353,0.173956,0.0345421,-0.00216721,0.0224024
6595001205,0.329487,0.0554945,-0.0552306,0.0270502
6596063279,0.183626,0.0538828,-0.0416961,0.0298744
6597126556,-0.120989,0.0313187,0.0247544,0.028123
6598190185,-0.262821,0.0103663,0.0784466,0.0236412
6599253295,-0.123407,0.0111721,0.0668533,0.0203081
6600316591,0.169927,0.0337363,0.000552231,0.0222315
6601379775,0.314176,0.0538828,-0.0543506,0.0256656
6602443034,0.18685,0.0530769,-0.0431658,0.0285507
6603506959,-0.108095,0.0313187,0.0209655,0.0272985
6604570588,-0.265238,0.0095604,0.0760238,0.0225999
6605637809,-0.117766,0.0103663,0.0664146,0.0202117
6606700197,0.17315,0.0321246,0.00128506,0.0220174
6607763104,0.318205,0.0522711,-0.0538285,0.0252306
6608826233,0.205385,0.0530769,-0.0457989,0.029086
6609889584,-0.0839195,0.0321246,0.0182833,0.0282429
6610952639,-0.252344,0.0111721,0.0751963,0.0245218
6612016527,-0.121795,0.0111721,0.0678373,0.0219493
6613080452,0.148169,0.0321246,0.00436464,0.0229894
6614143470,0.314176,0.0530769,-0.0513599,0.0263654
6615207784,0.19652,0.0538828,-0.0451782,0.0292731
6616270636,-0.0927839,0.0329304,0.0173221,0.0278144
6617332968,-0.261209,0.0111721,0.07404,0.0234182
6618397116,-0.155641,0.00875455,0.0696148,0.0190599
6619459726,0.138498,0.0289012,0.00766428,0.0197919
6620523707,0.31337,0.0506594,-0.0497319,0.0238796
6621586854,0.211026,0.0530769,-0.0459889,0.0277137
6622650224,-0.0823076,0.0329304,0.0142987,0.0266968
6623713908,-0.255568,0.0111721,0.0719503,0.0227861
6624777574,-0.141941,0.0095604,0.0703325,0.020161
6625845018,0.159451,0.0305129,0.00904268,0.0223637
6626905962,0.323846,0.0530769,-0.0504709,0.0270701
6627970405,0.213443,0.0546886,-0.0489363,0.0294795
6629034441,-0.0782784,0.0345421,0.0113078,0.0282964
6630098163,-0.264432,0.0111721,0.0716772,0.0233149
6631161218,-0.154029,0.00794869,0.0711893,0.0196794
6632223476,0.139304,0.0272893,0.0100891,0.020277
6633287605,0.320623,0.0498535,-0.050624,0.0243027
6634350790,0.218278,0.0530769,-0.0505433,0.0277648
6635415474,-0.0734432,0.0337363,0.0113376,0.0272659
6636495749,-0.263626,0.0103663,0.0730514,0.0225593
6637558100,-0.147582,0.00794869,0.0736563,0.0199369
6638621211,0.143333,0.0280952,0.0119652,0.0209526
6639685525,0.325458,0.0522711,-0.0495803,0.0260456
6640747895,0.226337,0.0563003,-0.0499929,0.0299007
6641811598,-0.0653846,0.0377656,0.0112997,0.030267
6642874782,-0.255568,0.0143957,0.0726009,0.0258703
6643938615,-0.168535,0.0103663,0.0741747,0.0219946
6645020741,0.12641,0.0289012,0.0135266,0.0216493
6646071168,0.324652,0.0522711,-0.0491445,0.0259625
6647134519,0.225531,0.0554945,-0.0512516,0.0288033
6648199407,-0.0653846,0.0361538,0.00919105,0.0282579
6649263943,-0.262015,0.0127839,0.0721661,0.0242134
6650327906,-0.166117,0.00794869,0.0753213,0.0200262
6651392238,0.120769,0.0272893,0.0151841,0.0206694
6652455515,0.312564,0.0506594,-0.0480975,0.0245511
6653521866,0.215055,0.0546886,-0.0512941,0.0276275
6654583532,-0.0645787,0.035348,0.0077382,0.0268022
6655648235,-0.262821,0.0111721,0.0704745,0.0221624
6656725492,-0.176593,0.00633698,0.0745034,0.0184772
6657777992,0.107875,0.0248718,0.0150915,0.0188136
6658843417,0.314176,0.0474359,-0.0488535,0.0220422
6659908305,0.236813,0.0522711,-0.0543355,0.0257833
6660973767,-0.0436264,0.0337363,0.00445047,0.025718
6662039266,-0.250733,0.0103663,0.0681842,0.0222039
6663103988,-0.178205,0.00472528,0.0737009,0.0182843
6664169302,0.0941759,0.0216483,0.0161436,0.0171736
6665236282,0.317399,0.0466301,-0.047638,0.0224433
6666299096,0.242454,0.0522711,-0.0546517,0.0262765
6667363669,-0.0395971,0.0337363,0.00179017,0.0255811
6668429687,-0.253956,0.0095604,0.0659244,0.0212299
6669493890,-0.18707,0.00391942,0.0744538,0.0178137
6670558222,0.09337,0.0216483,0.0192995,0.0180271
6671623684,0.314982,0.0458242,-0.0454859,0.022255
6672688961,0.251319,0.0522711,-0.0551768,0.0260102
6673753238,-0.0355678,0.0345421,0.000208215,0.0254196
6674818737,-0.251538,0.0111721,0.0661454,0.0220317
